,Trail_name,Difficulty,Average_rating,number_of_reviews,Length (in km),Tags,Est_time,latitude,longitude,current_temperature,current_windspeed,current_winddirection,current_weather_code,City,State,Country,Best_Season,tags_list
10,Katraj - Sinhagad Trek,Hard,4.8,38,29.3,"bird watching, hiking, views, wildlife, historic site, scramble, no shade",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'scramble', 'no shade', 'hiking', 'historic site', 'wildlife', 'views']"
11,Savandurga Trek,Moderate,4.8,33,3.9,"hiking, walking, views, wildflowers, historic site, rocky, no shade",238.80727808062974,12.9567353,77.2242281,21.9,17.2,254.0,3.0,Magadi,Karnataka,India,October - February,"['no shade', 'rocky', 'walking', 'wildflowers', 'hiking', 'historic site', 'views']"
12,Rajgad Fort Trek,Hard,4.5,24,7.1,"bird watching, hiking, walking, forest, views, wildflowers, wildlife, historic site, rocky",238.80727808062974,18.3036029,73.5824636,24.4,7.2,232.56410256410257,3.0,Velhe,Maharashtra,India,October - February,"['bird watching', 'rocky', 'forest', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
13,Vetal Tekdi Hike,Easy,4.6,37,3.9,"bird watching, hiking, running, walking, partially paved, forest, views, wildflowers, wildlife, historic site, scramble",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'scramble', 'forest', 'running', 'partially paved', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
14,Nag Tibba Trek,Hard,4.4,29,15.0,"camping, bird watching, hiking, walking, backpacking, forest, wildflowers, wildlife, scramble",238.80727808062974,30.4569012,78.0782906,19.6,2.1,211.0,3.0,Mussoorie,Uttarakhand,India,"March - June, September - November","['bird watching', 'scramble', 'forest', 'walking', 'hiking', 'wildflowers', 'camping', 'backpacking', 'wildlife']"
15,Bhagsu Nag Waterfall Trail,Moderate,4.4,17,3.1,"hiking, walking, kid friendly, river, views, waterfall, wildlife",238.80727808062974,32.2052511,76.3250598,25.9,2.3,231.0,3.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['kid friendly', 'walking', 'hiking', 'wildlife', 'views', 'river', 'waterfall']"
16,Korigad Fort,Hard,4.9,22,6.1,"hiking, walking, views, historic site",238.80727808062974,18.7618607,73.4038888,25.1,5.1,184.0,3.0,Lonavla,Maharashtra,India,October - February,"['hiking', 'historic site', 'views', 'walking']"
17,Kalavantin Durg - Prabalgad Fort,Hard,4.5,25,9.8,"hiking, walking, views, wildflowers, wildlife, historic site, scramble, rocky",238.80727808062974,18.9910971,73.1205846,27.0,7.5,197.0,80.0,Panvel,Maharashtra,India,October - February,"['scramble', 'rocky', 'walking', 'wildflowers', 'hiking', 'historic site', 'wildlife', 'views']"
18,Jogini Waterfall,Hard,4.5,18,6.6,"bird watching, hiking, snowshoeing, walking, cave, forest, river, views, waterfall, wildflowers, historic site, scramble, rocky",238.80727808062974,32.2454608,77.1872926,16.4,2.3,252.0,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'rocky', 'forest', 'snowshoeing', 'walking', 'hiking', 'wildflowers', 'historic site', 'cave', 'views', 'river', 'waterfall']"
19,Neer Garh Waterfalls,Moderate,4.3,17,3.1,"bird watching, hiking, walking, forest, river, views, waterfall, wildflowers, wildlife",238.80727808062974,30.1086537,78.2916193,27.2,2.6,214.0,3.0,Rishikesh,Uttarakhand,India,"March - June, September - November","['bird watching', 'forest', 'walking', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
20,Chowpatty Beach - Nariman Point,Easy,4.1,26,7.9,"bird watching, hiking, road biking, running, walking, kid friendly, partially paved, beach, views, city walk",238.80727808062974,19.054999,72.8692035,24.4,7.2,232.56410256410257,3.0,Mumbai,Maharashtra,India,October - February,"['bird watching', 'kid friendly', 'beach', 'running', 'partially paved', 'walking', 'hiking', 'road biking', 'city walk', 'views']"
21,Sukhna Lake Trail,Moderate,4.0,34,7.6,"bird watching, running, walking, paddle sports, kid friendly, paved, lake, views, city walk",238.80727808062974,30.6741922,76.7909851,24.4,7.2,232.56410256410257,3.0,Chandigarh,Punjab,India,All Year,"['bird watching', 'kid friendly', 'paved', 'running', 'paddle sports', 'walking', 'lake', 'city walk', 'views']"
22,Balsari - Kanyal Village via Dani Devta Temple,Moderate,4.4,17,6.6,"hiking, snowshoeing, walking, forest, river, views, wildflowers, wildlife, historic site",238.80727808062974,32.2454608,77.1872926,16.4,2.3,252.0,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['forest', 'snowshoeing', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'river']"
23,Visapur Fort Trail,Hard,4.5,18,4.2,"hiking, forest, lake, views, wildflowers, wildlife, historic site, scramble, rocky",238.80727808062974,18.7669374,73.5524324,24.0,6.1,242.0,3.0,Kamshet,Maharashtra,India,October - February,"['scramble', 'rocky', 'forest', 'lake', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
24,Upper Jogini Falls Trail,Moderate,4.6,12,1.9,"bird watching, hiking, forest, river, views, waterfall, wildflowers, wildlife, rocky, snow",238.80727808062974,32.2454608,77.1872926,16.4,2.3,252.0,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'rocky', 'snow', 'forest', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
25,Rainbow Waterfall via Living Root Bridge,Hard,4.7,16,12.2,"hiking, walking, forest, river, views, waterfall, wildflowers, wildlife, rocky",238.80727808062974,25.2648821,91.718957,22.0,6.8,162.0,2.0,Shella Bholaganj,Meghalaya,India,All Year,"['rocky', 'forest', 'walking', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
26,Chamundi Hills,Moderate,4.6,24,3.5,"hiking, walking, kid friendly, paved, views, wildlife, historic site",238.80727808062974,12.3041464,76.6529521,22.6,15.6,247.0,2.0,Mysuru,Karnataka,India,October - February,"['kid friendly', 'paved', 'walking', 'hiking', 'historic site', 'wildlife', 'views']"
28,Irshalgad,Hard,4.1,19,7.6,"hiking, walking, views, historic site, scramble, no shade",238.80727808062974,18.910139,73.324437,26.2,7.3,200.0,3.0,Karjat Raigarh,Maharashtra,India,October - February,"['scramble', 'no shade', 'walking', 'hiking', 'historic site', 'views']"
29,Rajmachi Fort Trek,Hard,4.1,17,22.9,"bird watching, hiking, walking, forest, lake, river, views, waterfall, wildflowers, wildlife, historic site, scramble, fee, rocky, muddy",238.80727808062974,18.7618607,73.4038888,25.1,5.1,184.0,3.0,Lonavla,Maharashtra,India,October - February,"['bird watching', 'scramble', 'rocky', 'forest', 'muddy', 'walking', 'lake', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'river', 'fee', 'waterfall']"
30,Lonavala Shrine Trail (Duke's Nose),Moderate,4.8,20,3.2,"bird watching, hiking, walking, views, wildflowers, wildlife, scramble, no shade",238.80727808062974,18.7618607,73.4038888,25.1,5.1,184.0,3.0,Lonavla,Maharashtra,India,October - February,"['bird watching', 'scramble', 'no shade', 'walking', 'hiking', 'wildflowers', 'wildlife', 'views']"
31,Kudle Beach - Paradise Beach,Moderate,4.5,18,6.9,"bird watching, hiking, running, walking, partially paved, beach, forest",238.80727808062974,14.5439629,74.3184418,27.3,15.0,259.0,95.0,Gokarna,Karnataka,India,October - February,"['bird watching', 'beach', 'forest', 'running', 'partially paved', 'walking', 'hiking']"
32,Bhagsu Waterfall Trail,Moderate,4.1,11,1.4,"bird watching, hiking, partially paved, forest, river, views, waterfall, wildflowers, wildlife",238.80727808062974,32.2052511,76.3250598,25.9,2.3,231.0,3.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'forest', 'partially paved', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
33,Velliangiri Mountains,Hard,4.5,17,11.1,"bird watching, hiking, backpacking, forest, views, wildflowers, wildlife, scramble",238.80727808062974,11.0018115,76.9628425,24.4,7.2,232.56410256410257,3.0,Coimbatore,Tamil Nadu,India,November - February,"['bird watching', 'scramble', 'forest', 'hiking', 'wildflowers', 'backpacking', 'wildlife', 'views']"
34,Taljai Forest Loop,Moderate,4.7,16,7.6,"bird watching, hiking, running, walking, partially paved, forest, lake, views, wildflowers, wildlife",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'forest', 'running', 'partially paved', 'walking', 'lake', 'hiking', 'wildflowers', 'wildlife', 'views']"
35,Vetal Tekdi Quarry Loop,Easy,3.9,15,3.9,"bird watching, hiking, walking, forest, views, wildflowers, wildlife",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'forest', 'walking', 'hiking', 'wildflowers', 'wildlife', 'views']"
37,Gallu Waterfall,Moderate,4.5,16,4.2,"bird watching, hiking, walking, forest, river, views, waterfall, wildflowers, wildlife, historic site, scramble",238.80727808062974,32.2143039,76.3196717,25.1,2.3,231.0,3.0,Dharamsala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'forest', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'river', 'waterfall']"
38,Dal Lake - Dharamkot Loop,Hard,4.1,14,16.4,"bird watching, hiking, walking, forest, lake, river, views, waterfall, wildflowers, wildlife",238.80727808062974,32.2052511,76.3250598,25.9,2.3,231.0,3.0,Dharmshala,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'forest', 'walking', 'lake', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'waterfall']"
39,Beas Kund Trail,Hard,4.9,11,15.0,"camping, bird watching, hiking, backpacking, partially paved, forest, lake, river, views, waterfall, wildflowers, wildlife, scramble, rocky",238.80727808062974,32.2454608,77.1872926,16.4,2.3,252.0,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'rocky', 'forest', 'partially paved', 'lake', 'hiking', 'wildflowers', 'camping', 'backpacking', 'wildlife', 'views', 'river', 'waterfall']"
40,George Everest Peak,Moderate,4.8,10,4.3,"bird watching, hiking, walking, views, scramble, rocky, no shade",238.80727808062974,30.4569012,78.0782906,19.6,2.1,211.0,3.0,Mussoorie,Uttarakhand,India,"March - June, September - November","['bird watching', 'scramble', 'rocky', 'no shade', 'walking', 'hiking', 'views']"
41,Lohagad Fort,Moderate,4.6,9,4.0,"bird watching, hiking, walking, kid friendly, partially paved, forest, views, wildflowers, wildlife, historic site",238.80727808062974,18.7669374,73.5524324,24.0,6.1,242.0,3.0,Kamshet,Maharashtra,India,October - February,"['bird watching', 'kid friendly', 'forest', 'partially paved', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
42,Om Beach - Half Moon Beach,Moderate,3.8,11,7.9,"bird watching, hiking, running, walking, beach, views, pub walk",238.80727808062974,14.5439629,74.3184418,27.3,15.0,259.0,95.0,Gokarna,Karnataka,India,October - February,"['bird watching', 'beach', 'pub walk', 'running', 'walking', 'hiking', 'views']"
44,Karol Tibba Trek,Hard,4.3,16,9.2,"bird watching, hiking, cave, forest, views, wildflowers, wildlife, scramble, rocky",238.80727808062974,30.9077569,77.1023645,24.6,2.5,262.0,2.0,Solan,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'wildlife', 'scramble', 'rocky', 'forest', 'hiking', 'wildflowers', 'cave', 'views']"
45,Khandoba Temple Trail,Moderate,5.0,45,5.0,"bird watching, hiking, walking, forest, views, wildflowers, wildlife, historic site",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'forest', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
46,Solang Valley - Jogni Waterfall Loop,Hard,4.3,10,15.0,"hiking, partially paved, cave, forest, river, views, waterfall, wildflowers, wildlife, historic site, city walk, rocky",238.80727808062974,32.2454608,77.1872926,24.4,7.2,232.56410256410257,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['wildlife', 'rocky', 'forest', 'partially paved', 'hiking', 'wildflowers', 'historic site', 'city walk', 'cave', 'views', 'river', 'waterfall']"
47,Chembra Peak,Hard,4.5,11,16.1,"bird watching, hiking, walking, forest, lake, river, views, wildflowers, wildlife, fee, muddy",238.80727808062974,11.5560885,76.038922,22.8,6.9,276.0,2.0,Vythiri,Kerala,India,September - March,"['bird watching', 'forest', 'muddy', 'walking', 'lake', 'hiking', 'wildflowers', 'wildlife', 'views', 'river', 'fee']"
48,Vetal Tekdi Trail,Moderate,4.4,11,4.2,"bird watching, hiking, mountain biking, running, walking, partially paved, forest, views, wildflowers, rocky",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'rocky', 'forest', 'running', 'partially paved', 'walking', 'hiking', 'wildflowers', 'views', 'mountain biking']"
49,Taj Mahal,Easy,4.4,7,4.5,"walking, kid friendly, stroller friendly, wheelchair friendly, paved, views, wildflowers, historic site, fee, no shade",238.80727808062974,27.1752554,78.0098161,27.1,4.7,184.0,80.0,Agra,Uttar Pradesh,India,All Year,"['stroller friendly', 'no shade', 'kid friendly', 'paved', 'wheelchair friendly', 'walking', 'wildflowers', 'historic site', 'views', 'fee']"
50,Tulian Lake Trek,Hard,4.4,7,20.0,"camping, bird watching, hiking, snowshoeing, walking, backpacking, forest, lake, river, views, wildflowers, wildlife, scramble, rocky, snow",238.80727808062974,34.0144858,75.3285164,20.3,5.5,238.0,3.0,Pahalgam,Jammu and Kashmir,India,May - October,"['bird watching', 'scramble', 'rocky', 'snow', 'forest', 'snowshoeing', 'walking', 'lake', 'hiking', 'wildflowers', 'camping', 'backpacking', 'wildlife', 'views', 'river']"
52,Rajgad - Torna Trail,Hard,4.8,14,17.4,"hiking, walking, cave, river, views, wildflowers, wildlife, historic site",238.80727808062974,18.3036029,73.5824636,22.0,7.7,233.0,3.0,Velhe,Maharashtra,India,October - February,"['wildlife', 'walking', 'hiking', 'wildflowers', 'historic site', 'cave', 'views', 'river']"
53,Dayara Bugyal Trail,Hard,5.0,10,15.0,"camping, bird watching, hiking, skiing, walking, backpacking, forest, hot springs, river, views, waterfall, wildflowers, wildlife, historic site",238.80727808062974,31.0561375,78.9803492,6.9,1.8,307.0,3.0,Bhatwari,Uttarakhand,India,"March - June, September - November","['bird watching', 'hot springs', 'forest', 'skiing', 'walking', 'hiking', 'wildflowers', 'historic site', 'camping', 'backpacking', 'wildlife', 'views', 'river', 'waterfall']"
54,Shivagange Hill Trek,Moderate,5.0,10,3.1,"bird watching, hiking, walking, forest, views, wildflowers, historic site",238.80727808062974,13.2274343,77.2425412,22.0,16.5,250.0,3.0,Dabaspete,Karnataka,India,October - February,"['bird watching', 'forest', 'walking', 'hiking', 'wildflowers', 'historic site', 'views']"
55,Garbett Point,Hard,4.6,9,12.4,"bird watching, hiking, walking, lake, views, wildflowers, wildlife, scramble, rocky, no shade",238.80727808062974,19.0274308,73.3184369,26.3,7.3,200.0,3.0,Neral,Maharashtra,India,October - February,"['bird watching', 'scramble', 'rocky', 'no shade', 'walking', 'lake', 'hiking', 'wildflowers', 'wildlife', 'views']"
56,Vashisht - Pandu Ropa Trail,Hard,4.4,11,9.0,"camping, bird watching, hiking, snowshoeing, backpacking, forest, river, views, waterfall, wildflowers, wildlife, scramble, rocky, snow",238.80727808062974,32.2454608,77.1872926,24.4,7.2,232.56410256410257,3.0,Manali,Himachal Pradesh,India,"April - June, September - November","['bird watching', 'scramble', 'rocky', 'snow', 'forest', 'snowshoeing', 'hiking', 'wildflowers', 'camping', 'backpacking', 'wildlife', 'views', 'river', 'waterfall']"
57,Chennagiri Trek,Hard,4.6,11,6.4,"bird watching, hiking, views, wildflowers, wildlife, historic site",238.80727808062974,13.0993764,77.388729,24.4,7.2,232.56410256410257,3.0,Chikkaballapur,Karnataka,India,October - February,"['bird watching', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
58,Naranag - Gangabal via Nundkol,Hard,5.0,11,27.2,"camping, bird watching, fishing, hiking, snowshoeing, walking, backpacking, forest, lake, river, views, waterfall, wildflowers, wildlife, historic site, scramble, rocky, snow",238.80727808062974,34.26361,74.90341,20.5,3.9,202.0,2.0,Kangan,Jammu and Kashmir,India,May - October,"['bird watching', 'scramble', 'rocky', 'snow', 'forest', 'snowshoeing', 'walking', 'lake', 'hiking', 'wildflowers', 'historic site', 'camping', 'backpacking', 'wildlife', 'views', 'river', 'fishing', 'waterfall']"
59,Takmak Fort Trail,Moderate,4.8,10,9.7,"bird watching, hiking, partially paved, forest, views, wildflowers, wildlife, historic site, rocky",238.80727808062974,19.3428238,72.805441,27.3,14.3,214.0,80.0,Vasai,Maharashtra,India,October - February,"['bird watching', 'rocky', 'forest', 'partially paved', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
61,Belekan - Paradise Beach,Easy,4.8,12,2.1,"bird watching, hiking, walking, beach, forest, views, wildflowers, wildlife",238.80727808062974,14.5439629,74.3184418,24.4,7.2,232.56410256410257,3.0,Gokarna,Karnataka,India,October - February,"['bird watching', 'beach', 'forest', 'walking', 'hiking', 'wildflowers', 'wildlife', 'views']"
62,Golconda Fort,Moderate,4.6,10,3.1,"walking, kid friendly, views, historic site, fee",238.80727808062974,17.360589,78.4740613,25.6,14.4,271.0,2.0,Hyderabad,Telangana,India,All Year,"['kid friendly', 'walking', 'historic site', 'views', 'fee']"
63,Peb (Vikatgad),Moderate,4.4,7,13.2,"bird watching, hiking, river, views, waterfall, wildflowers, wildlife, historic site, scramble, rocky",238.80727808062974,19.0274308,73.3184369,26.3,7.3,200.0,3.0,Neral,Maharashtra,India,October - February,"['bird watching', 'scramble', 'rocky', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views', 'river', 'waterfall']"
64,Govardhan Parikrama,Moderate,4.8,11,22.4,"bird watching, hiking, walking, kid friendly, partially paved, lake, views, wildflowers, wildlife, historic site, city walk",238.80727808062974,27.4955539,77.6855554,26.8,2.6,164.0,80.0,Mathura,Uttar Pradesh,India,All Year,"['bird watching', 'kid friendly', 'partially paved', 'walking', 'lake', 'hiking', 'wildflowers', 'historic site', 'city walk', 'wildlife', 'views']"
65,China Peak Trail,Moderate,4.7,10,4.5,"bird watching, hiking, paved, forest, views, wildflowers, wildlife, rocky",238.80727808062974,29.3905295,79.460869,24.4,7.2,232.56410256410257,3.0,Nainital,Uttarakhand,India,"March - June, September - November","['bird watching', 'rocky', 'paved', 'forest', 'hiking', 'wildflowers', 'wildlife', 'views']"
66,Nehru Park Loop,Easy,4.7,16,2.7,"bird watching, hiking, running, walking, kid friendly, partially paved, views, wildflowers, city walk",238.80727808062974,28.6430858,77.2192671,27.4,3.8,163.0,95.0,New Delhi,Delhi,India,All Year,"['bird watching', 'kid friendly', 'running', 'partially paved', 'walking', 'hiking', 'wildflowers', 'city walk', 'views']"
67,Vasant Vatika Loop,Easy,4.5,24,3.2,"hiking, running, walking, kid friendly, partially paved",238.80727808062974,28.6430858,77.2192671,27.4,3.8,163.0,95.0,New Delhi,Delhi,India,All Year,"['kid friendly', 'running', 'partially paved', 'walking', 'hiking']"
68,Nandi Hill Loop,Moderate,3.9,7,4.8,"bird watching, hiking, road biking, scenic driving, walking, kid friendly, partially paved, views, wildflowers, historic site, fee",238.80727808062974,13.1711683,78.0705791,22.2,20.9,266.0,3.0,Chikballapura,Karnataka,India,October - February,"['bird watching', 'scenic driving', 'kid friendly', 'partially paved', 'walking', 'hiking', 'road biking', 'wildflowers', 'historic site', 'views', 'fee']"
69,Taljai Forest Hike,Easy,4.7,16,4.5,"bird watching, hiking, running, walking, partially paved, forest, lake, views, wildflowers, wildlife, historic site",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['bird watching', 'forest', 'running', 'partially paved', 'walking', 'lake', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
70,Sankey Tank Trail,Easy,4.7,5,3.1,"bird watching, running, walking, kid friendly, paved, lake, views, wildflowers, wildlife, city walk",238.80727808062974,12.9881567,77.6226,22.0,14.1,255.0,3.0,Bangalore,Karnataka,India,October - February,"['bird watching', 'kid friendly', 'paved', 'running', 'walking', 'lake', 'wildflowers', 'city walk', 'wildlife', 'views']"
71,Dattatrey Peak Trail,Hard,4.9,9,10.3,"camping, bird watching, hiking, backpacking, cave, forest, views, wildflowers, wildlife, historic site, rocky",238.80727808062974,21.5220416,70.4582458,26.6,6.1,208.0,3.0,Junagadh,Gujarat,India,All Year,"['bird watching', 'wildlife', 'rocky', 'forest', 'hiking', 'wildflowers', 'historic site', 'camping', 'backpacking', 'cave', 'views']"
72,Tung Fort,Moderate,4.6,10,2.3,"bird watching, hiking, walking, cave, lake, river, views, waterfall, wildflowers, wildlife, historic site, scramble, rocky",238.80727808062974,18.7669374,73.5524324,24.0,6.1,242.0,3.0,Kamshet,Maharashtra,India,October - February,"['bird watching', 'wildlife', 'scramble', 'rocky', 'walking', 'lake', 'hiking', 'wildflowers', 'historic site', 'cave', 'views', 'river', 'waterfall']"
73,Dhayari - Sinhagad Trail,Hard,4.5,21,32.3,"hiking, walking, views, historic site, scramble, fee, rocky, no shade, muddy",238.80727808062974,18.5213738,73.8545071,24.9,7.6,265.0,3.0,Pune,Maharashtra,India,October - February,"['scramble', 'no shade', 'rocky', 'muddy', 'walking', 'hiking', 'historic site', 'views', 'fee']"
74,Savitri Mata Temple,Moderate,4.7,6,2.3,"bird watching, hiking, walking, kid friendly, partially paved, forest, views, wildflowers, wildlife, historic site",238.80727808062974,26.4691,74.639,26.5,9.8,262.0,80.0,Ajmer,Rajasthan,India,All Year,"['bird watching', 'kid friendly', 'forest', 'partially paved', 'walking', 'hiking', 'wildflowers', 'historic site', 'wildlife', 'views']"
75,Shri Hemkund Sahib Trail,Hard,4.3,8,36.4,"camping, bird watching, hiking, snowshoeing, walking, backpacking, partially paved, forest, lake, hot springs, river, views, waterfall, wildflowers, wildlife, historic site, scramble, rocky, snow",238.80727808062974,30.5555752,79.5612607,19.4,1.8,233.0,3.0,Jyotirmath,Uttarakhand,India,"March - June, September - November","['forest', 'snowshoeing', 'backpacking', 'river', 'waterfall', 'bird watching', 'scramble', 'rocky', 'partially paved', 'walking', 'hiking', 'historic site', 'camping', 'hot springs', 'snow', 'lake', 'wildflowers', 'wildlife', 'views']"
76,Fort Heritage Area of Mumbai,Easy,4.4,17,7.2,"road biking, scenic driving, walking, kid friendly, paved, views, historic site, city walk",238.80727808062974,19.054999,72.8692035,27.2,13.7,210.0,80.0,Mumbai,Maharashtra,India,October - February,"['scenic driving', 'kid friendly', 'paved', 'walking', 'city walk', 'road biking', 'historic site', 'views']"
77,Rajgarh Fort Loop,Hard,4.8,8,7.7,"hiking, walking, views, historic site",238.80727808062974,18.3036029,73.5824636,22.0,7.7,233.0,3.0,Velhe,Maharashtra,India,October - February,"['hiking', 'historic site', 'views', 'walking']"
78,Tahuli Saddle Trail,Hard,5.0,7,14.5,"hiking, walking, river, views, waterfall, bugs",238.80727808062974,19.2015607,73.2004771,26.5,5.8,210.0,3.0,Ambarnath,Maharashtra,India,October - February,"['walking', 'hiking', 'bugs', 'views', 'river', 'waterfall']"
